SPID,PROP_ID,PREFERENCE,DESCRIPTION,PROPERTY_TYPE,CITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,REGISTER_DATE,POSTING_DATE,UPDATE_DATE,CLASS,RES_COM,PROP_NAME,PROPERTY_NUMBER,MIN_PRICE,MAX_PRICE,PRICE_SQFT,PROJ_ID,BUILDING_ID,VERIFIED,MAP_DETAILS,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,ALT_TAG,PRODUCT_TYPE,TOP_USPS,EXPIRY_DATE,PROPERTY_TYPE__U,AREA,SECONDARY_AREA,PRICE,PROP_HEADING,VALUE_LABEL,CLASS_HEADING,CLASS_LABEL,REGISTER_DATE__U,REGISTERED_DAYS,PRIMARY_TAGS,SECONDARY_TAGS,TOTAL_LANDMARK_COUNT,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,BALCONY_NUM,FLOOR_NUM,CITY,CITY_NAME,BUILDING_ID,BUILDING_NAME,SOCIETY_NAME,LOCALITY_ID,LOCALITY_NAME,ADDRESS
70135726,Z70135726,S,"Hmda, rera approved residential apartments at kompally town, close to all international schools, college's, with clubhouse, swimming pool, with all amenities provided... Interior provided..",Residential Apartment,Secunderabad,1.0,1,2.0,5700.0,2,4,1,5.0,"23,24,5,17,6,20,21","08th Jul, 2023",1688833873000.0,1689100520000,A,R,Evolve,1,6925500,6925500,5700.0,0,0,N,"{'LATITUDE': '17.575957', 'LONGITUDE': '78.471167'}",112.877145,112.877145,"5,17,20,21,23,24,6","₹69.25 Lac, 2 bhk Residential Apartment in Gundlapochampalli - Entrance",PREMIUM_LISTING,,2023-09-06 00:00:00,1,1215,112.88 sq.m.,69.25 L,2 BHK Flat in Gundlapochampalli,Freehold,Dealer: Rainbow Developers,Dealer,2023-07-08 22:01:14,1 month ago,['FEATURED'],"['READY TO MOVE', 'RESALE']",9.0,[{'text': '1 Library'}],Evolve,Evolve,1.0,2,268,Secunderabad,0,Evolve,Evolve,17934,Gundlapochampalli,
68489968,A68489968,S,"Own a 2 BHK apartment in Annes Fortune Greenhomes Swan, Nizampet, Hyderabad for a comfortable living. With a super built-up area of 1155.0 sq. ft. to 1395.0 sq. ft., these 2 BHK apartments are available at a price range of Rs. 69.3 Lac to Rs. 83.7 Lac. 

Annes Fortune Greenhomes Swan is meticulously designed to bring you an awe-inspiring lifestyle and convenience.  It hosts a series of facilities like a 24/7 Power Backup, Cricket Pitch, Water Softener Plant, Rain Water Harvesting, Gazebo, etc. and all the other essential things to fulfill the resident's everyday needs are located within. The project is equipped with the most necessary safety and security features. Each tower has a CCTV surveillance in place.",Residential Apartment,Hyderabad,2.0,1,2.0,6000.0,0,0,5,20.0,N,"12th Apr, 2023",1681280380000.0,1681280381000,B,R,Annes Fortune Greenhomes Swan,8,6930000,8370000,6000.0,400617,1093625,N,"{'LATITUDE': '17.522103', 'LONGITUDE': '78.384846'}",107.302965,129.599685,,Annes Fortune Greenhomes Swan Others,PSEUDO_LISTING,,2023-10-09 00:00:00,1,1155,107.3-129.6  sq.m.,69.3  - 83.7 L,2 BHK Flat in Nizampet,Freehold,Builder,Builder,2023-04-12 11:49:40,4 months ago,['FEATURED'],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",50.0,"[{'text': '1 Shopping'}, {'text': '3 Religious Places'}, {'text': '9 ATMs'}, {'text': '14 Hospitals'}, {'text': '2 Pharmacys'}, {'text': '1 Bus Depot'}, {'text': '1 Library'}]",Annes Fortune Greenhomes Swan,Annes Fortune Greenhomes Swan,,1,269,Hyderabad,1093625,Annes Fortune Greenhomes Swan,Annes Fortune Greenhomes Swan,5561,Nizampet,
69555358,M69555358,S,"This well-known project offers 4 BHK apartments in Nanakramguda, Hyderabad. With a super built-up area, ranging from 2880.0 sq. ft. to 3000.0 sq. ft., the apartments are available at an economical price. The price range is available on request.

There are 2 towers. A close attention has been paid to each detail for a comfortable living. It has Gymnasium, Children's Play Area, Party Lawn, Lift(s), Landscape Garden, etc. Loaded with all the modern amenities, the project is certainly a steal deal.",Residential Apartment,Hyderabad,2.0,1,4.0,0.0,0,0,5,20.0,N,"08th Jun, 2023",1686225627000.0,1686225628000,B,R,The Olympus,2,0,0,0.0,378897,1061980,N,"{'LATITUDE': '17.41977', 'LONGITUDE': '78.34969'}",267.56064,278.709,,The Olympus Others,PSEUDO_LISTING,,2023-12-05 00:00:00,1,2880,267.56-278.71  sq.m.,Price on Request,4 BHK Flat in Nanakramguda,Freehold,Builder,Builder,2023-06-08 17:30:28,2 months ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",11.0,"[{'text': '1 Metro Station'}, {'text': '1 Shopping'}, {'text': '1 Connectivity'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Railway Station'}, {'text': '1 Office Complex'}, {'text': '1 Amusement Park'}, {'text': '1 Golf Course'}]",The Olympus,The Olympus,,1,269,Hyderabad,1061980,The Olympus,The Olympus,872,Nanakramguda,
69555352,P69555352,S,"Enjoy a blissful living experience in The Olympus. This residential project encompasses 3 BHK flats in Nanakramguda, Hyderabad and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle.

Its unique highlights include facilities like Car Parking, Lift(s), Party Lawn, Jogging Track, Skating Rink and many others. All of these and the other features make this project a true value for money. And you can now buy your exclusive 3 BHK flat in this project at a price of Rs. 2.02 Crore - Rs. 2.02 Crore. It has a super built-up area ranging from 2010.0 sq. ft. - 2020.0 sq. ft.",Residential Apartment,Hyderabad,2.0,1,3.0,20049.0,0,0,5,20.0,N,"08th Jun, 2023",1686225626000.0,1686225627000,B,R,The Olympus,2,20200000,20200000,20049.0,378897,1061980,N,"{'LATITUDE': '17.41977', 'LONGITUDE': '78.34969'}",186.73503,187.66406,,The Olympus Others,PSEUDO_LISTING,,2023-12-05 00:00:00,1,2010,186.74-187.66  sq.m.,2.02  - 2.02 Cr,3 BHK Flat in Nanakramguda,Freehold,Builder,Builder,2023-06-08 17:30:27,2 months ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",11.0,"[{'text': '1 Metro Station'}, {'text': '1 Shopping'}, {'text': '1 Connectivity'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Railway Station'}, {'text': '1 Office Complex'}, {'text': '1 Amusement Park'}, {'text': '1 Golf Course'}]",The Olympus,The Olympus,,1,269,Hyderabad,1061980,The Olympus,The Olympus,872,Nanakramguda,
70237806,B70237806,S,"Siva sai infra myra is a residential development in patighanpur, hyderabad. The project is built by siva sai infra projects. They provide 3bhk villa with all necessities.",Independent House/Villa,Hyderabad,2.0,1,3.0,8999.0,0,0,5,0.0,N,"14th Jul, 2023",1689331616000.0,1689331617000,B,R,Siva Sai Infra Myra,4,24192000,28728000,8999.0,407796,1112421,N,"{'LATITUDE': '17.513816', 'LONGITUDE': '78.244055'}",249.723264,296.546376,,Siva Sai Infra Myra Others,PSEUDO_LISTING,,2024-01-10 00:00:00,2,2688,249.72-296.55  sq.m.,2.42  - 2.87 Cr,3 Bedroom House in Kollur,Freehold,Builder,Builder,2023-07-14 16:16:56,1 month ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",8.0,"[{'text': '2 Connectivities'}, {'text': '1 Education'}, {'text': '2 Hospitals'}, {'text': '1 Airport'}, {'text': '1 Office Complex'}, {'text': '1 Miscellaneous'}]",Siva Sai Infra Myra,Siva Sai Infra Myra,,,269,Hyderabad,1112421,Siva Sai Infra Myra,Siva Sai Infra Myra,46844,Kollur,
69662330,Z69662330,S,"Make Iris by Raghava your next home. This project offers 4 BHK flats in Gachibowli, Hyderabad. With a super built-up area ranging from 5425.0 sq. ft. to 6605.0 sq. ft., these flats combine the finest design and amenities in Hyderabad to provide a living experience unlike any other.

It is an under construction project and is unique in its perfect harmony of classic form and modern construction. The features and the amenities like Jogging Track, Lawn Tennis Court, Creche/Day care, 24/7 Water Supply, Children's Play Area and many more make this residential project an epitome of modern living. Further, the society is well connected with all means of public transport. The flats are available at a price range of Rs. 7.59 Crore to Rs. 9.25 Crore.",Residential Apartment,Hyderabad,2.0,1,4.0,14000.0,0,0,5,45.0,N,"14th Jun, 2023",1686728099000.0,1686728100000,B,R,Iris by Raghava,3,75950000,92470000,14000.0,399658,1092216,N,"{'LATITUDE': '17.42107', 'LONGITUDE': '78.38372'}",503.998775,613.624315,,Iris by Raghava Others,PSEUDO_LISTING,,2023-12-11 00:00:00,1,5425,504-613.62  sq.m.,7.59  - 9.25 Cr,4 BHK Flat in Gachibowli,Freehold,Builder,Builder,2023-06-14 13:04:59,2 months ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",13.0,"[{'text': '1 Metro Station'}, {'text': '1 Shopping'}, {'text': '2 Connectivities'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Park'}, {'text': '1 Railway Station'}, {'text': '1 Office Complex'}, {'text': '1 Hotels'}, {'text': '1 Amusement Park'}]",Iris by Raghava,Iris by Raghava,,1,269,Hyderabad,1092216,Iris by Raghava,Iris by Raghava,5136,Gachibowli,
70679968,S70679968,S,"KSR Greens is an under construction project, offering 3 BHK flats in Madinaguda, Hyderabad. These flats have a super built-up area in the range of 1600.0 sq. ft. to 1900.0 sq. ft. and are available at an economical price of Rs. 1.25 Crore - Rs. 1.48 Crore.

It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Badminton Court, Squash Court, Party Lawn, Lift(s), Yoga/Meditation Area, etc. that make it one of the most sought after neighborhoods.",Residential Apartment,Hyderabad,2.0,1,3.0,7800.0,0,0,5,30.0,N,"08th Aug, 2023",1691472550000.0,1691472550000,B,R,KSR Greens,4,12480000,14820000,7800.0,380938,1065299,N,"{'LATITUDE': '17.49148', 'LONGITUDE': '78.34096'}",148.6448,176.5157,,KSR Greens Others,PSEUDO_LISTING,,2024-02-02 00:00:00,1,1600,148.64-176.52  sq.m.,1.25  - 1.48 Cr,3 BHK Flat in Madinaguda,Freehold,Builder,Builder,2023-08-08 10:59:10,2 weeks ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",9.0,"[{'text': '1 Metro Station'}, {'text': '1 Shopping'}, {'text': '2 Connectivities'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Railway Station'}]",KSR Greens,KSR Greens,,1,269,Hyderabad,1065299,KSR Greens,KSR Greens,5202,Madinaguda,
70148736,I70148736,S,"Pragati green meadows in shankerpally, hyderabad by pragati green living is a residential project. 
 
The project offers residential plotting with the perfect combination of contemporary architecture and features to provide a comfortable living. 
 
The project is spread over a total area of 1000 acres of land. 
 
Offering below amenities for a better living experience : 
 
A big club house, swimming pool-Deck area of 16,000 ft., water slides and water sports, a restaurant, an ayurvedic rejuvenation center, children's park surrounded by natural landscaping, open air theatre, cricket ground, bridge, and billiards room, volleyball court, wi-Fi connectivity, water fountains, indoor & outdoor gaming facilities, large swimming pool, natural farming, gow-Shala, pyramid room for yoga & meditation, holistic ayurveda, and eco-Balancing environment.",Residential Land,Hyderabad,2.0,1,,3333.0,0,0,0,0.0,N,"10th Jul, 2023",1688943703000.0,1688943704000,B,R,Pragati Green Meadows,5,8009199,29997000,3333.0,85819,400587,N,"{'LATITUDE': '17.388172', 'LONGITUDE': '78.181228'}",223.245909,836.127,,Pragati Green Meadows Others,PSEUDO_LISTING,,2024-01-06 00:00:00,3,2403,223.25-836.13  sq.m.,80.09 L - 3 Cr,Residential land / Plot in Shankarpally,Freehold,Builder,Builder,2023-07-10 04:31:43,1 month ago,[],"['READY TO MOVE', 'NEW BOOKING']",5.0,"[{'text': '1 Connectivity'}, {'text': '1 Education'}, {'text': '1 Hotels'}, {'text': '2 Miscellaneouss'}]",Pragati Green Meadows,Pragati Green Meadows,,,269,Hyderabad,400587,Pragati Green Meadows,Pragati Green Meadows,2698,Shankarpally,
67722344,M67722344,S,"Book your 3 BHK flat in Aditya Athena, Shaikpet, Hyderabad. Having a super built-up area of 1770.0 sq. ft. - 2390.0 sq. ft., these flats promise an exclusive view and refreshing vibes, making them well ventilated.

It is a superbly design project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities to premium amenities that include Earthquake Resistant, CCTV Camera Security, Indoor Games, Vastu Compliant, Swimming Pool and what not. Now, you can buy this exclusive 3 BHK flat at a price range of Rs. 1.8 Crore - Rs. 2.43 Crore.",Residential Apartment,Hyderabad,2.0,1,3.0,10169.0,0,0,5,15.0,N,"06th Mar, 2023",1678096062000.0,1678096063000,B,R,Aditya Athena,26,17999130,24303910,10169.0,337671,1010285,N,"{'LATITUDE': '17.407369', 'LONGITUDE': '78.388221'}",164.43831,222.03817,,Aditya Athena Others,PSEUDO_LISTING,,2023-09-02 00:00:00,1,1770,164.44-222.04  sq.m.,1.8  - 2.43 Cr,3 BHK Flat in Shaikpet,Freehold,Builder,Builder,2023-03-06 15:17:43,5 months ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",12.0,"[{'text': '1 Metro Station'}, {'text': '1 Shopping'}, {'text': '1 Connectivity'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Railway Station'}, {'text': '1 Office Complex'}, {'text': '1 Hotels'}, {'text': '1 Golf Course'}, {'text': '1 Stadium'}]",Aditya Athena,Aditya Athena,,1,269,Hyderabad,1010285,Aditya Athena,Aditya Athena,3479,Shaikpet,
69323950,B69323950,S,"Lavish, is the only way to describe these beautiful 3bhk and 4bhk villas in bowrampet, hyderabad. Tripura landmark 4 villas built by tripura constructions builders have everything you would ever expect in a true luxury accommodation. Extended over a wide area, the architecture and attention to detail put them in a class by themselves. These homes are recognized by telangana rera and built with all essential amenities.",Independent House/Villa,Hyderabad,2.0,1,4.0,10000.0,0,0,5,0.0,N,"27th May, 2023",1685168425000.0,1685168426000,B,R,Tripura Landmark 4,1,29060000,29060000,10000.0,409999,1115346,N,"{'LATITUDE': '17.574527971682', 'LONGITUDE': '78.409721132955'}",269.976118,269.976118,,Tripura Landmark 4 Others,PSEUDO_LISTING,,2023-11-23 00:00:00,2,2906,269.98 sq.m.,2.91 Cr,4 Bedroom House in Bowrampet,Freehold,Builder,Builder,2023-05-27 11:50:25,3 months ago,[],"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA']",8.0,"[{'text': '1 Shopping'}, {'text': '1 Connectivity'}, {'text': '2 Educations'}, {'text': '1 Hospital'}, {'text': '1 Airport'}, {'text': '1 Railway Station'}, {'text': '1 Hotels'}]",Tripura Landmark 4,Tripura Landmark 4,,,269,Hyderabad,1115346,Tripura Landmark 4,Tripura Landmark 4,8298,Bowrampet,
