PROP_ID,PREFERENCE,DESCRIPTION,PROPERTY_TYPE,CITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,PROP_NAME,PRICE_SQFT,MAP_DETAILS,AMENITIES,AREA,PRICE,PROP_HEADING,SECONDARY_TAGS,TOTAL_LANDMARK_COUNT,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,SUPERBUILTUP_SQFT,BUILTUP_SQFT,SUPER_AREA,SUPERAREA_UNIT,SUPER_SQFT,CITY.1,CITY_NAME,LOCALITY_ID,LOCALITY_NAME,ADDRESS
Y71306776,S,"Book your 2 BHK flat in Srijan Star Swapno Puron, Amtala , Kolkata South. Having a super built-up area of 518.0 sq. ft. - 623.0 sq. ft., these flats promise an exclusive view and refreshing vibes, making them well ventilated.

It is a superbly design project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities to premium amenities that include Car Parking, Cafeteria, 24/7 Power Backup, Senior Citizen Sitout, Carrom and what not. Now, you can buy this exclusive 2 BHK flat at a price range of Rs. 19.1 Lac - Rs. 22.67 Lac.",Residential Apartment,Kolkata South,2,1,2,3662,0,0,5,3,N,Srijan Star Swapno Puron,3662,"{'LATITUDE': '22.364447', 'LONGITUDE': '88.274642'}",,518,19.1 L Onwards,2 BHK Flat in Amtala,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",2,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}]",Srijan Star Swapno Puron,Srijan Star Swapno Puron,,1,,,,,,,27,Kolkata South,8005,amtala,
B70113976,S,"Make Natural Quest your next home. This project offers 3 BHK flats in EM Bypass, Kolkata South. With a built-up area ranging from 1110.0 sq. ft. to 1121.0 sq. ft., these flats combine the finest design and amenities in Kolkata South to provide a living experience unlike any other.

It is a new launch project and is unique in its perfect harmony of classic form and modern construction. The features and the amenities like Car Parking, Paved Compound, CCTV Camera Security, Pergola, Reflexology Park and many more make this residential project an epitome of modern living. Further, the society is well connected with all means of public transport. The flats are available at a price range of Rs. 1.17 Crore to Rs. 1.18 Crore.",Residential Apartment,Kolkata South,2,1,3,10500,0,0,5,11,N,Natural Quest,10500,"{'LATITUDE': '22.518795', 'LONGITUDE': '88.388439'}",,1110,1.17  - 1.18 Cr,3 BHK Flat in EM Bypass,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",9,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '2 Shoppings', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '2 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Natural Quest,Natural Quest,,1,,,,,,,27,Kolkata South,603,em bypass,
O70374510,S,"Book your 3 BHK apartment in Garia, Kolkata South at a price ranging from Rs. 1.22 Crore to Rs. 1.35 Crore. The Ganguly 4Sight Eminence hosts exclusively designed towers, each presenting an epitome of class and simplicity.

The residential apartments have a super built-up area of 1376.0 sq. ft. to 1516.0 sq. ft. and are a new launch. With an impressive layout and a comprehensive range of amenities, like , etc., the Ganguly 4Sight Eminence leaves no stone unturned to amaze.",Residential Apartment,Kolkata South,2,1,3,8900,0,0,5,20,N,Ganguly 4Sight Eminence,8900,"{'LATITUDE': '22.5137646', 'LONGITUDE': '88.3666797'}",,1376,1.22  - 1.35 Cr,3 BHK Flat in Garia,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",6,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Ganguly 4Sight Eminence,Ganguly 4Sight Eminence,,1,,,,,,,27,Kolkata South,651,garia,
Q69170182,S,"Dev bhumi in joka, kolkata south by ocean land developer is a residential project. 
 
Dev bhumi price ranges from 1.49 cr to 5.99 cr. 
 
It also offers car parking. 
 
The project is spread over a total area of 2 acres of land. It has 50% of open space. 
An accommodation of 500 units has been provided. 
 
 
Dev bhumi brochure is also available for easy reference. 
 
About city: 
 
Kolkata, the city of joy has a realty market scenario like no other. The addition of emerging townships in the city has affected the residential real estate market hugely. Along with this, the developing infrastructure, presence of large industries, well connectivity between major micro markets and a stable economy of the state has helped kolkata create a positive feel throughout.",Residential Land,Kolkata South,2,1,,208,0,0,0,0,N,Dev Bhumi,208,"{'LATITUDE': '22.45383', 'LONGITUDE': '88.249572'}",,720,1.5  - 5.99 L,Residential land / Plot in Joka,"['READY TO MOVE', 'NEW BOOKING']",13,"[{'category': 'MetroStation', 'text': '2 Metro Stations', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '6 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '4 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}]",Dev Bhumi,Dev Bhumi,,,,,,,,,27,Kolkata South,844,joka,
F69917588,S,"Let your dream of owning a flat come true with DTC Sojon. It offers an exclusive range of 3 BHK flats in Joka, Kolkata South. They are available at price of Rs. 60 Lac - Rs. 75 Lac and have a super built-up area of 1130.0 sq. ft. to 1460.0 sq. ft.

The project is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as features many more attractive facilities with a host of amenities like Senior Citizen Sitout, CCTV Camera Security, 24/7 Water Supply, Toddler Pool, Reflexology Park, etc. ",Residential Apartment,Kolkata South,2,1,3,5215,0,0,5,19,N,DTC Sojon,5215,"{'LATITUDE': '22.44213', 'LONGITUDE': '88.29551'}",,1130,60  - 75 L,3 BHK Flat in Joka,"['UNDER CONSTRUCTION', 'NEW BOOKING']",11,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",DTC Sojon,DTC Sojon,,1,,,,,,,27,Kolkata South,844,joka,
Y69917586,S,"DTC Sojon offers 2 BHK apartments in Joka, Kolkata South, at an affordable price range of Rs. 45 Lac to Rs. 49 Lac.

These are an under construction apartments spreading across a super built-up area of 880.0 sq. ft. - 960.0 sq. ft. There are a total of 11 towers in the project. The project offers inclusion of essential amenities like Cricket Pitch, Carrom, Gated Community, Gymnasium, Senior Citizen Sitout, etc. Its aesthetics too is tastefully done to suit to your urbane living needs and promises to offer an easy living within budget.",Residential Apartment,Kolkata South,2,1,2,5108,0,0,5,19,N,DTC Sojon,5108,"{'LATITUDE': '22.44213', 'LONGITUDE': '88.29551'}",,880,45  - 49 L,2 BHK Flat in Joka,"['UNDER CONSTRUCTION', 'NEW BOOKING']",11,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",DTC Sojon,DTC Sojon,,1,,,,,,,27,Kolkata South,844,joka,
G68329262,S,"Make The Signature your next home. This project offers 3 BHK flats in New Alipore, Kolkata South. With a super built-up area ranging from 1289.0 sq. ft. to 1422.0 sq. ft., these flats combine the finest design and amenities in Kolkata South to provide a living experience unlike any other.

It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. The features and the amenities like Gymnasium, Gated Community, Children's Play Area, 24/7 Water Supply, Party Lawn and many more make this residential project an epitome of modern living. Further, the society is well connected with all means of public transport. The flats are available at a price range of Rs. 90.85 Lac to Rs. 1 Crore.",Residential Apartment,Kolkata South,2,1,3,7048,0,0,5,11,N,The Signature,7048,"{'LATITUDE': '22.499927', 'LONGITUDE': '88.32487'}",,1289,90.85 L Onwards,3 BHK Flat in New Alipore,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",48,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'ReligiousPlace', 'text': '6 Religious Places', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'ATM', 'text': '4 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '19 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Pharmacy', 'text': '2 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'BusDepot', 'text': '1 Bus Depot', 'className': 'busdpt', 'icon': 'https://static.99acres.com/universalapp/img/busdpt.png'}]",The Signature,The Signature,,1,,,,,,,27,Kolkata South,1465,new alipore,
J71214794,S,"Experience a new style of living with Bhawani Bandhan. It offers an exclusive range of 2 BHK apartments in Madhyamgram, Kolkata North. Here is a steal deal for you. Book your 2 BHK apartment here at a never before price of Rs. 39 Lac. The unit has a super built-up area of 920.0 sq. ft. 

This is an under construction project. It has been designed keeping every small to large needs of residents in consideration. Plus, a comprehensive range of amenities including Indoor Games, Card Room, Gymnasium, Lift(s), Banquet Hall, etc. make it one of the most desirable residential projects in Kolkata North.",Residential Apartment,Kolkata North,2,1,2,4239,0,0,5,11,N,Bhawani Bandhan,4239,"{'LATITUDE': '22.690003', 'LONGITUDE': '88.45908'}",,920,39 L,2 BHK Flat in Madhyamgram,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",27,"[{'category': 'ReligiousPlace', 'text': '5 Religious Places', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'Hospital', 'text': '15 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'BusDepot', 'text': '1 Bus Depot', 'className': 'busdpt', 'icon': 'https://static.99acres.com/universalapp/img/busdpt.png'}]",Bhawani Bandhan,Bhawani Bandhan,,1,,920,,,,,26,Kolkata North,528,madhyamgram,
K71064488,S,"Symphony Proxima is a new launch project, offering 3 BHK flats in Kamalgazi, Kolkata South. These flats have a super built-up area in the range of 1120.0 sq. ft. to 1280.0 sq. ft. and are available at an economical price of Rs. 52.64 Lac - Rs. 60.16 Lac.

It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Banquet Hall, Yoga/Meditation Area, Gymnasium, Children's Play Area, Senior Citizen Sitout, etc. that make it one of the most sought after neighborhoods.",Residential Apartment,Kolkata South,2,1,3,4700,0,0,5,5,N,Symphony Proxima,4700,"{'LATITUDE': '22.44497560154', 'LONGITUDE': '88.390239965808'}",,1120,52.64  - 60.16 L,3 BHK Flat in Kamalgazi,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",7,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Symphony Proxima,Symphony Proxima,,1,,,,,,,27,Kolkata South,6849,kamalgazi,
Q71064486,S,"This well-known project offers 2 BHK apartments in Kamalgazi, Kolkata South. With a super built-up area, ranging from 885.0 sq. ft. to 890.0 sq. ft., the apartments are available at an economical price range of Rs. 41.59 Lac to Rs. 41.83 Lac.

There are 3 towers. A close attention has been paid to each detail for a comfortable living. It has Gymnasium, Banquet Hall, 24/7 Power Backup, Indoor Games, CCTV Camera Security, etc. Loaded with all the modern amenities, the project is certainly a steal deal.",Residential Apartment,Kolkata South,2,1,2,4700,0,0,5,5,N,Symphony Proxima,4700,"{'LATITUDE': '22.44497560154', 'LONGITUDE': '88.390239965808'}",,885,41.6  - 41.83 L,2 BHK Flat in Kamalgazi,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",7,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Symphony Proxima,Symphony Proxima,,1,,,,,,,27,Kolkata South,6849,kamalgazi,
