SPID,PROP_ID,PREFERENCE,DESCRIPTION,PROPERTY_TYPE,CITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,REGISTER_DATE,POSTING_DATE,UPDATE_DATE,CLASS,RES_COM,PROP_NAME,PROPERTY_NUMBER,MIN_PRICE,MAX_PRICE,PRICE_SQFT,PROJ_ID,BUILDING_ID,VERIFIED,MAP_DETAILS,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,ALT_TAG,PRODUCT_TYPE,TOP_USPS,EXPIRY_DATE,PROPERTY_TYPE__U,AREA,SECONDARY_AREA,PRICE,PROP_HEADING,VALUE_LABEL,CLASS_HEADING,CLASS_LABEL,REGISTER_DATE__U,REGISTERED_DAYS,PRIMARY_TAGS,SECONDARY_TAGS,TOTAL_LANDMARK_COUNT,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,location,BALCONY_NUM,FLOOR_NUM
69306824,X69306824,S,"New brand 3bhk farmhouse with 68 guntha land for sale just 10km from karjat.

Newly constructed
3bhk fully furnished bungalow
Care taker room
Plot area : 68 agriculture land
Tittle clear single owner property 
Price : 3.25 cr.
Landmark : Near kadav
Road acces : Taar road
Water source : Boarwell
Electicity : Available
View from plot : Picturesque view of mountains, waterfalls, fog, & forest. Etc
Trees : Mango, coconut, guava, custard apple, jackfruit, banana & many other trees
Well maintained garden, lawn, flower & show plants.
Wall compound barbed wired fencing with gate 
Surroundings : Nearby shankar mahadevan, hariharan & sonu nigam farm houses, farm houses, holiday homes, agro tourism projects, bungalow projects and resorts.
Suitable for : Farmhouse, resort, meditation centre, holiday home, etc.
Distance / location: 
3 km from karjat-Murbad highway
8 km from karjat station
2 km from bhivpuri road station
14 km from old mumbai-Pune highway 
46 km from navi mumbai airport
Connectivity : Bus, six siter, auto, private vehicle, etc
Nearest market : Hospital, medical, bank, atm, market place, etc.. 3 km from said property.
With our local expertise and extensive network in karjat, we are able to provide you best options as per your requirement & budjet.
We provide farmer certificate.
We also have team of legal, architecture, construction & all services realated real estate investment, development & property management.",Farm House,Mumbai Beyond Thane,1.0,1,3.0,477941.0,1,4,6,1.0,"44,23,45,12,24,46,25,47,26,19,1,40,41,42,32","10th Aug, 2023",1685042000000.0,1691637879000,A,R,,1,32500001,32500001,477941.0,0,0,N,"{'LATITUDE': '18.92343', 'LONGITUDE': '73.32514'}",6879.560053,6879.560053,"32,44,23,45,24,46,47,19,1,40,41,42,12,25,26,101,102,103","₹3.25 Crore, 3 bhk Farm House in Karjat - Others",PREMIUM_LISTING,,2023-10-09 00:00:00,5,74051 sq.ft.,6879.56 sq.m.,3.25 Cr,3 Bedroom Farm house in Karjat,Freehold,Dealer: SRA Estate Consultant,Dealer,2023-08-10 08:54:39,2 weeks ago,['FEATURED'],"['READY TO MOVE', 'RESALE']",14.0,[{'text': '9 Hospitals'}],,,"{'CITY': '274', 'CITY_NAME': 'Mumbai Beyond Thane', 'BUILDING_ID': '0', 'BUILDING_NAME': '', 'SOCIETY_NAME': '', 'LOCALITY_ID': '7915', 'LOCALITY_NAME': 'Karjat', 'ADDRESS': None}",1.0,
70915032,R70915032,S,Our residential plots & commercial plots are available at the most affordable price. The progressive area of jnpt-Uran-Chirle-Chirner will reap the prospects of property in this location. Proposed sewri  nhava sheva sea-Link (Mumbai trans-Harbor-Link) and navi mumbai international airport boosting the development of these locations and attracting the eye of real estate investors to put money into these revitalizing areas,Residential Land,Navi Mumbai,1.0,1,,381.0,0,5,0,7.0,N,"20th Aug, 2023",1692528854000.0,1692528854000,A,R,city prop,1,415000,415000,381.0,0,0,N,"{'LATITUDE': '18.926491', 'LONGITUDE': '73.030923'}",101.171367,101.171367,,"₹4.15 Lac, Land/Plot in Chirle - Land",PREMIUM_LISTING,"['North-East Facing', 'Corner Property', 'Overlooking Main Road']",2023-10-19 00:00:00,3,1089 sq.ft.,101.17 sq.m.,4.15 L,Residential land / Plot in Chirle,Freehold,Dealer: CITY PROPERTIES AND DEVELOPERS ,Dealer,2023-08-20 16:24:14,6 days ago,['FEATURED'],"['CORNER PROPERTY', 'NORTH-EAST FACING', 'CIDC APPROVED', 'READY TO MOVE', 'RESALE']",,,city prop,city prop,"{'CITY': '15', 'CITY_NAME': 'Navi Mumbai', 'BUILDING_ID': '0', 'BUILDING_NAME': 'city prop', 'SOCIETY_NAME': 'city prop', 'LOCALITY_ID': '46935', 'LOCALITY_NAME': 'Chirle', 'ADDRESS': None}",,
70916930,G70916930,P,"Spacious bedroom with 
Double size bed with durafit mattress
Good intirior, ambience lighting, air conditioner, bright flooring, long lenth windows with designer curtains, with study table, with indian sitting at window , attached washroom with gyser, cumoard, jaguar shower panel, society with lift, big passage entry, bedroom with personalised lock
Security check entry at society passage",Residential Apartment,Thane,,0,1.0,51.0,1,3,3,7.0,"23,24,21","22nd Aug, 2023",1692534349000.0,1692777355000,O,R,Highway Darshan,1,20000,20000,51.0,0,412496,N,"{'LATITUDE': '19.22071', 'LONGITUDE': '72.986786'}",36.23217,36.23217,"21,23,24,101,102","₹20,000, 1 bhk Residential Apartment in Thane West - Bedroom",PAID_OWNER_LISTING,"['East Facing', 'Close to Metro Station']",2023-10-20 00:00:00,1,390 sq.ft.,36.23 sq.m.,"20,000/Bedroom",1 BHK Flat in Thane West,,Owner,Owner,2023-08-22 00:00:00,4 days ago,[],"['FURNISHED', 'PRIVATE ROOM']",49.0,"[{'text': '2 Religious Places'}, {'text': '1 ATM'}, {'text': '18 Hospitals'}, {'text': '1 Pharmacy'}, {'text': '1 Miscellaneous'}, {'text': '1 Library'}]",Highway Darshan,Highway Darshan,"{'CITY': '219', 'CITY_NAME': 'Thane', 'BUILDING_ID': '412496', 'BUILDING_NAME': 'Highway Darshan', 'SOCIETY_NAME': 'Highway Darshan', 'LOCALITY_ID': '1107', 'LOCALITY_NAME': 'Thane West', 'ADDRESS': '102, Shivanand Chs, Teen Hath Naka'}",1.0,1.0
70484400,H70484400,P,"Pg for boys and girls available with price of:

(|) single sharing - 22k to 25k
 (||) double sharing - 10k 12k 

 Hall - 7k",Residential Apartment,Thane,,0,4.0,6.0,1,0,6,17.0,"44,23,45,24,17,29,40,41,42,21","28th Jul, 2023",1690541978000.0,1692976956000,O,R,"Terraform Petunia, G Corp ",1,8000,8000,6.0,0,0,N,"{'LATITUDE': '19.267984', 'LONGITUDE': '72.970973'}",116.12875,116.12875,"17,21,44,23,45,24,29,40,41,42","₹8000, 4 bhk Residential Apartment in Kasar vadavali - Bedroom",PAID_OWNER_LISTING,"['Fresh Construction', 'Gated Society', 'Furnished']",2024-07-26 00:00:00,1,1250 sq.ft.,116.13 sq.m.,"8,000/Bed",4 BHK Flat in Kasar vadavali,,Owner,Owner,2023-07-28 16:29:38,4 weeks ago,[],"['FURNISHED', 'SHARED BY 2']",39.0,"[{'text': '1 Shopping'}, {'text': '3 Religious Places'}, {'text': '6 ATMs'}, {'text': '12 Hospitals'}, {'text': '1 Pharmacy'}]","Terraform Petunia, G Corp ","Terraform Petunia, G Corp ","{'CITY': '219', 'CITY_NAME': 'Thane', 'BUILDING_ID': '0', 'BUILDING_NAME': 'Terraform Petunia, G Corp ', 'SOCIETY_NAME': 'Terraform Petunia, G Corp ', 'LOCALITY_ID': '1131', 'LOCALITY_NAME': 'Kasar vadavali', 'ADDRESS': '1501'}",2.0,11.0
70484128,A70484128,P,"Pg for boys and girls in thane with below price:

 (|) single sharing - 15k-22k 
 (||) double sharing - 10k-12k",Residential Apartment,Thane,,0,4.0,6.0,1,0,6,30.0,"24,40,41,42,21","28th Jul, 2023",1690541467000.0,1692977338000,O,R,nul,1,8000,8000,6.0,0,0,N,"{'LATITUDE': '19.25756', 'LONGITUDE': '72.98296'}",116.12875,116.12875,"21,24,40,41,42,103","₹8000, 4 bhk Residential Apartment in Hiranandani Estate - Hall",PAID_OWNER_LISTING,"['Air Conditioned', 'Fresh Construction', 'Gated Society', 'Furnished']",2024-07-26 00:00:00,1,1250 sq.ft.,116.13 sq.m.,"8,000/Bed",4 BHK Flat in Hiranandani Estate,,Owner,Owner,2023-07-28 16:21:07,4 weeks ago,[],"['FURNISHED', 'SHARED BY 2']",50.0,"[{'text': '1 Shopping'}, {'text': '2 Religious Places'}, {'text': '6 ATMs'}, {'text': '15 Hospitals'}, {'text': '1 Pharmacy'}]",nul,nul,"{'CITY': '219', 'CITY_NAME': 'Thane', 'BUILDING_ID': '0', 'BUILDING_NAME': 'nul', 'SOCIETY_NAME': 'nul', 'LOCALITY_ID': '5102', 'LOCALITY_NAME': 'Hiranandani Estate', 'ADDRESS': None}",2.0,25.0
70484644,C70484644,P,"Pg for boys and girls near by wagle estate with price:

 Double sharing common bed- 7.5
 Master bed - 7.5k 
 Hall -6.5k
Everything will be common",Residential Apartment,Thane,,0,3.0,7.0,1,0,3,6.0,"40,41,42,21","28th Jul, 2023",1690542367000.0,1692974250000,O,R,"Anurag Society , manthan society ",1,7500,7500,7.0,0,0,N,"{'LATITUDE': '72.977264', 'LONGITUDE': '19.231418'}",104.515875,104.515875,"21,40,41,42,106,105,103","₹7500, 3 bhk Residential Apartment in Louis Wadi close to wagle estate - Bedroom",PAID_OWNER_LISTING,"['Air Conditioned', 'Gated Society', 'Furnished']",2024-07-26 00:00:00,1,1125 sq.ft.,104.52 sq.m.,"7,500/Bed",3 BHK Flat in Louis Wadi close to wagle estate,,Owner,Owner,2023-07-28 16:36:08,4 weeks ago,[],"['FURNISHED', 'SHARED BY 2']",,,"Anurag Society , manthan society ","Anurag Society , manthan society ","{'CITY': '219', 'CITY_NAME': 'Thane', 'BUILDING_ID': '0', 'BUILDING_NAME': 'Anurag Society , manthan society ', 'SOCIETY_NAME': 'Anurag Society , manthan society ', 'LOCALITY_ID': '0', 'LOCALITY_NAME': 'Louis Wadi close to wagle estate', 'ADDRESS': '3/4'}",2.0,2.0
70816344,D70816344,P,"If you are looking for pg/paying guest in sector 21 nerul, navi mumbai, your search ends here. Check out this option for people like you in monil cottage, navi mumbai. It is a sharing room. You have to share it with 2 people. The property has 2 bedrooms with 2 bathrooms & 2 balconies built in a 850 sq.Ft. Carpet area. It is a furnished room. The property comprise of 1 light, 1 ac, 2 wardrobe, 1 fan, 2 geyser, 1 washing machine, 1 stove, 1 fridge, 1 water purifier, 1 microwave, 1 modular kitchen, 1 dining table, 3 curtains and 1 exhaust fan. Parking available: 1 open parking. It is a 5-10 years old pg accommodation. The room is available from tue, 15 aug 2023. This pg has 6 beds. This room is currently available for 6000 only. A refundable amount of 6000 as security will be required initially. Minimum contract duration for pg will be 1 month. You will have to serve a notice period of 1 month. Some house rules are alcohol not allowed, pets not allowed, smoking not allowed, party/event not allowed and visitors not allowed. You will also get water storage and security / fire alarm, in a gated society. Additionally, the property has partial power back up. This property faces the north-East direction. Anti skid vitrified flooring are in all the rooms.

6000- Triple sharing
8000 - Double sharing 
12000- Sungle",Residential Apartment,Navi Mumbai,,0,2.0,7.0,1,5,2,3.0,"23,24,17,29,30,41,32","19th Aug, 2023",1692087724000.0,1692988112000,O,R,Vintage Paying PG,1,6000,6000,7.0,0,0,N,"{'LATITUDE': '19.029645', 'LONGITUDE': '73.020627'}",78.96755,78.96755,"17,32,23,24,29,30,41,106,105,103","₹6000, 2 bhk Residential Apartment in Sector 21 Nerul - Bedroom",PAID_OWNER_LISTING,,2024-08-16 00:00:00,1,850 sq.ft.,78.97 sq.m.,"6,000/Bed",2 BHK Flat in Sector 21 Nerul,,Owner,Owner,2023-08-19 14:17:30,1 week ago,[],"['FURNISHED', 'SHARED BY 2']",50.0,"[{'text': '4 Parkings'}, {'text': '2 Religious Places'}, {'text': '1 ATM'}, {'text': '18 Hospitals'}, {'text': '1 Miscellaneous'}]",Vintage Paying PG,Vintage Paying PG,"{'CITY': '15', 'CITY_NAME': 'Navi Mumbai', 'BUILDING_ID': '0', 'BUILDING_NAME': 'Vintage Paying PG', 'SOCIETY_NAME': 'Vintage Paying PG', 'LOCALITY_ID': '21757', 'LOCALITY_NAME': 'Sector 21 Nerul', 'ADDRESS': 'Monil Cottage'}",2.0,2.0
70486606,R70486606,P,"Separate pg for boys and girls with below price:

Triple sharing- 6k 
Four sharing - 5k",Independent House/Villa,Navi Mumbai,,0,4.0,2.0,1,5,1,3.0,"44,23,45,12,24,46,25,28,30","28th Jul, 2023",1690545342000.0,1692955159000,O,R,Shri Sai Darshan,1,6000,6000,2.0,192449,311367,N,"{'LATITUDE': '19.154494', 'LONGITUDE': '72.996572'}",278.709,278.709,"44,23,45,24,46,28,30,12,25",Shri Sai Darshan Hall,PAID_OWNER_LISTING,['Furnished'],2024-07-26 00:00:00,2,3000 sq.ft.,278.71 sq.m.,"6,000/Bed",4 Bedroom House in Sector 4 Airoli,,Owner,Owner,2023-07-28 17:25:42,4 weeks ago,[],"['FURNISHED', 'SHARED BY 3']",35.0,"[{'text': '1 Shopping'}, {'text': '2 Religious Places'}, {'text': '1 ATM'}, {'text': '21 Hospitals'}, {'text': '3 Office Complexes'}, {'text': '1 Bus Depot'}]",Shri Sai Darshan,Shri Sai Darshan,"{'CITY': '15', 'CITY_NAME': 'Navi Mumbai', 'BUILDING_ID': '311367', 'BUILDING_NAME': 'Shri Sai Darshan', 'SOCIETY_NAME': 'Shri Sai Darshan', 'LOCALITY_ID': '22399', 'LOCALITY_NAME': 'Sector 4 Airoli', 'ADDRESS': 'C - 106'}",2.0,
70485228,D70485228,P,"Pg for boys and girls (Separate) with price of: 

 (||) double sharing ( Common ) - 5k 
 (||) double sharing (Master )- 5.5k",Residential Apartment,Mumbai Beyond Thane,,0,3.0,3.0,1,0,1,22.0,"24,9,40,41,42,21","28th Jul, 2023",1690543531000.0,1692889901000,O,R,Bhiwandi Tata mantra,1,5000,5000,3.0,0,0,N,"{'LATITUDE': '19.268855', 'LONGITUDE': '73.045851'}",148.6448,148.6448,"21,24,9,40,41,42","₹5000, 3 bhk Residential Apartment in Bhiwandi - Hall",PAID_OWNER_LISTING,"['Gated Society', 'Furnished']",2024-07-26 00:00:00,1,1600 sq.ft.,148.64 sq.m.,"5,000/Bed",3 BHK Flat in Bhiwandi,,Owner,Owner,2023-07-28 16:55:31,4 weeks ago,[],"['FURNISHED', 'SHARED BY 2']",14.0,"[{'text': '1 Religious Place'}, {'text': '11 Hospitals'}, {'text': '1 Miscellaneous'}]",Bhiwandi Tata mantra,Bhiwandi Tata mantra,"{'CITY': '274', 'CITY_NAME': 'Mumbai Beyond Thane', 'BUILDING_ID': '0', 'BUILDING_NAME': 'Bhiwandi Tata mantra', 'SOCIETY_NAME': 'Bhiwandi Tata mantra', 'LOCALITY_ID': '1116', 'LOCALITY_NAME': 'Bhiwandi', 'ADDRESS': None}",3.0,13.0
70629508,K70629508,P,"1. This building is not a tower but has only 6floors.
2. It is located on central avenue road having all the banks branches near by.
3. It is the 1st building near diamond garden, 10 mins. Walk from chembur railway station and 5 mins. Walk from mumbai pune road.
4. Temple, church are nearby, within 5mins. Walk.
5. The pg accommodation is a master bedroom with a double bed, a built in wardrobe, fitted ac, attached bathroom with 24hr hot and cold running water.",Residential Apartment,Mumbai Harbour,,0,2.0,25.0,1,3,3,6.0,"23,45,24,25,17,29,6,8,40,30,41,20,42,21,32","14th Aug, 2023",1691220608000.0,1692789892000,O,R,blue diamond apartments,1,25000,25000,25.0,0,0,N,"{'LATITUDE': '19.060577', 'LONGITUDE': '72.899179'}",92.903,92.903,"17,8,20,21,32,23,45,24,29,6,40,30,41,42,25,106,105,103","₹25,000, 2 bhk Residential Apartment in Chembur East - Building",PAID_OWNER_LISTING,"['Laundry Service available', 'Attached Bathroom', 'Private Garden', 'East Facing']",2023-11-13 00:00:00,1,1000 sq.ft.,92.9 sq.m.,"25,000/Bedroom",2 BHK Flat in Chembur East,,Owner,Owner,2023-08-14 00:00:00,1 week ago,[],"['FURNISHED', 'PRIVATE ROOM']",50.0,"[{'text': '6 Religious Places'}, {'text': '27 Hospitals'}, {'text': '2 Pharmacys'}]",blue diamond apartments,blue diamond apartments,"{'CITY': '13', 'CITY_NAME': 'Mumbai Harbour', 'BUILDING_ID': '0', 'BUILDING_NAME': 'blue diamond apartments', 'SOCIETY_NAME': 'blue diamond apartments', 'LOCALITY_ID': '4893', 'LOCALITY_NAME': 'Chembur East', 'ADDRESS': None}",1.0,6.0
